id,nama,email,no_hp,tanggal_daftar,status
281,Lanang Januar,najibnatsir@hotmail.com,+62-0577-670-1817,2024-05-17,banned
"282,""Elon Mandasari, S.Farm"",ohassanah@yahoo.com,+62-026-998-2841,11/08/2025,banned"
"283,""Endra Dongoran, M.Ak"",mulyono28@gmail.com,0891559689,2026-03-05,active"
284,Salwa Padmasari,haryantoenteng@pt.net.id,+62 (085) 794 0896,12/06/2025,Active
"285,""Wakiman Nasyidah, S.Ked"",ghaliyati68@yahoo.com,0854951609,21-03-24,banned"
286,dr. Winda Salahudin,tinasaragih@pd.edu,(081) 777 5654,2024-04-04,inactive
287,Ellis Haryanto,rahmiiswahyudi@yahoo.com,+62-622-711-7080,05-01-26,inactive
288,Zaenab Hutapea,puspahutasoit@pt.gov,084 299 1989,31/08/2023,active
289,Dr. Kasim Uyainah,rahmathutasoit@hotmail.com,(0711) 764 1055,08-05-24,banned
"290,""Nadine Maheswara, S.T."",rahimahusman@cv.ponpes.id,(048) 726-2972,2025-12-30,active"
291,Jamal Puspita,oktavianielvina@pd.gov,+62 (0388) 474 0420,01-01-26,Active
292,dr. Tantri Pangestu,gmaryadi@yahoo.com,082 961 8025,26-06-23,Active
"293,""Zelaya Kurniawan, S.Pd"",jaeman99@hotmail.com,+62 (0592) 883 1441,24/10/2023,aktive"
294,Melinda Pratiwi,tarihorancatur@ud.ponpes.id,+62-093-553-4949,2024-11-17,banned
295,KH. Dipa Samosir,hlestari@hotmail.com,+62-029-194-0832,28-06-25,Active
296,Harsanto Latupono,azulkarnain@gmail.com,+62 (0918) 359-7745,09-05-24,Active
297,Iriana Hardiansyah,karta32@pd.ac.id,+62 (0766) 542-5290,18/01/2026,inactive
298,Dr. Adikara Mahendra,balapati90@cv.gov,+62 (401) 248-9528,23-06-24,banned
299,Sabar Megantara,zulaikazulfa@gmail.com,+62 (0966) 861-0432,2025-08-15,Active
300,H. Jail Hardiansyah,purwantomayasari@hotmail.com,+62-35-456-2254,2024-03-31,inactive
301,Galang Astuti,mandalagarda@yahoo.com,+62 (0233) 903 8267,18-05-24,aktive
302,Tgk. Restu Puspasari,mustofa61@yahoo.com,+62 (026) 515-5242,17/01/2024,active
303,Sabrina Riyanti,epuspasari@ud.int,+62-0156-617-7841,08/10/2024,banned
304,Bagya Hardiansyah,oskar86@gmail.com,+62 (14) 093-6467,22-02-23,Active
305,Umaya Simanjuntak,balapati39@hotmail.com,+62-239-209-4120,05-02-25,Active
306,Adhiarja Susanti,jwahyudin@hotmail.com,0845325058,2024-07-07,Active
307,Rachel Siregar,harimurtipurnawati@hotmail.com,0881756865,14/12/2024,active
308,Daru Dongoran,kusmawatisiska@hotmail.com,(027) 671-9200,05/09/2023,inactive
309,Mumpuni Waskita,hlazuardi@cv.gov,+62 (423) 635 3744,12/04/2026,banned
310,Padmi Wacana,wmansur@yahoo.com,+62 (0369) 248 6867,22/01/2026,active
"311,""Lidya Waskita, S.H."",manullangajiman@cv.biz.id,+62 (09) 820 8750,2025-03-05,active"
312,Ratna Hutapea,driyanti@gmail.com,(0675) 285 7934,04/04/2025,inactive
313,Dr. Salwa Lazuardi,martana90@pd.sch.id,0802991502,01/06/2025,Active
"314,""Dr. Darsirah Padmasari, S.Psi"",ian54@yahoo.com,+62 (439) 832-5355,19-09-25,active"
315,Hani Suryono,ziziastuti@ud.id,(084) 107-6391,07-06-24,inactive
316,Jais Rahayu,solehsihombing@hotmail.com,+62 (0014) 732-6485,05-08-23,active
317,Wahyu Hidayat,amalia44@perum.com,+62 (00) 197 8501,14/10/2023,active
318,Luwar Nainggolan,galuhpermadi@gmail.com,+62 (080) 776 1358,2023-11-21,active
319,Ciaobella Mardhiyah,kprasetyo@ud.gov,+62-080-364-5672,28/06/2023,banned
320,R. Joko Puspita,aryanikambali@yahoo.com,081 459 1635,19/09/2024,aktive
321,Teguh Habibi,asirwanda99@gmail.com,(019) 907 2441,2025-08-10,Active
"322,""Gabriella Pratiwi, S.I.Kom"",dagustina@pd.org,+62 (012) 220 7821,15/11/2024,Active"
"323,""Farhunnisa Saputra, S.E.I"",julia39@perum.int,+62-43-153-7224,04-04-23,active"
324,drg. Gaduh Pertiwi,iagustina@perum.desa.id,+62-22-686-2819,09-10-23,active
325,Cemani Aryani,banararajasa@cv.desa.id,(0795) 268-1042,2025-03-30,aktive
326,Emas Firgantoro,ade27@yahoo.com,+62 (077) 001 5262,09/10/2025,Active
327,Wardaya Saptono,wasitafebi@pt.net,+62 (107) 761 5193,09-03-23,active
328,Febi Setiawan,winarnomariadi@perum.biz.id,+62-506-914-2662,02-07-23,Active
329,Kayla Fujiati,prasetya03@yahoo.com,+62 (025) 414 3823,2024-09-05,active
330,Diana Maryadi,patricia11@gmail.com,+62 (37) 701-1968,2024-10-16,banned
"331,""dr. Maimunah Manullang, S.H."",indahkusumo@gmail.com,(0915) 150 4632,2023-07-19,banned"
332,Marwata Gunarto,restu04@pt.net.id,+62 (0677) 016-5890,13-05-24,Active
333,Hasan Halim,pradiptaestiawan@hotmail.com,+62 (486) 781-7454,27/02/2026,active
334,Kartika Siregar,jpangestu@gmail.com,+62 (94) 634 2393,2025-07-03,Active
"335,""Zahra Palastri, S.H."",yuliantisakti@cv.go.id,+62 (67) 259-4556,19-02-24,banned"
336,Vanya Tampubolon,suartinicandrakanta@perum.or.id,+62-12-975-0657,2023-04-30,inactive
337,Melinda Yulianti,baktiantopermadi@gmail.com,+62 (54) 282 9046,2023-12-23,active
"338,""Drs. Rahmat Dabukke, S.Sos"",qyulianti@hotmail.com,+62 (946) 305-9978,2023-01-26,inactive"
"339,""Sutan Irsad Permadi, M.Pd"",hasanahemong@gmail.com,(035) 826 9743,2023-11-06,inactive"
"340,""H. Lutfan Usamah, S.Pt"",ysihombing@ud.go.id,+62 (0484) 763-4457,04/05/2024,active"
341,Juli Fujiati,prasetyodina@gmail.com,087 184 8304,13-06-25,banned
342,Dr. Dimas Waskita,xwastuti@cv.biz.id,(0017) 102-6891,2024-01-06,active
343,Dr. Putri Mayasari,cpurnawati@perum.id,(0391) 691-3182,16/01/2023,banned
"344,""R. Mahesa Santoso, S.H."",ipadmasari@perum.web.id,+62 (66) 397-1831,06-11-25,Active"
"345,""Baktianto Pranowo, S.Pt"",pangestu04@pd.sch.id,(0007) 860 0930,2025-07-10,banned"
346,Hj. Sari Laksita,irma91@pt.net,+62-832-946-0666,11/03/2025,aktive
347,Hani Sihombing,zulkarnainwadi@gmail.com,(035) 096 2745,28/04/2023,active
348,Kartika Irawan,lbudiyanto@perum.com,+62 (0430) 500-6412,2023-04-26,active
349,Olivia Padmasari,lailawibowo@pt.org,(023) 863-0449,26-11-24,aktive
350,Kani Prasasta,eoktaviani@pt.desa.id,(0335) 484 1328,03-08-25,Active
351,Patricia Pradana,yuniardevi@yahoo.com,(0204) 569 7174,2023-03-05,active
352,Agnes Santoso,riyantielvin@hotmail.com,+62-73-795-2214,24-01-26,banned
353,Puspa Fujiati,kokousamah@yahoo.com,0896364795,2023-08-13,aktive
354,Lintang Mandala,ejaagustina@yahoo.com,+62 (033) 081-2370,2025-11-30,active
355,Yance Dabukke,usman53@gmail.com,+62 (997) 228-4557,06/04/2024,inactive
356,Uli Suwarno,napitupulumakara@ud.gov,+62 (0795) 133 8120,2025-05-05,banned
357,Vicky Nuraini,rizki36@hotmail.com,+62-603-012-6760,08-05-23,inactive
358,Shakila Maryadi,swinarsih@hotmail.com,089 255 4377,23-02-24,aktive
"359,""Lukman Aryani, S.Farm"",faizahharyanti@pt.ponpes.id,+62 (095) 888-3854,29-07-23,aktive"
360,Hj. Devi Anggraini,agnesnuraini@ud.biz.id,+62 (24) 589-4023,2026-01-14,Active
361,Ade Situmorang,hendrihastuti@gmail.com,+62 (447) 682-8524,09/10/2024,inactive
"362,""Cut Vivi Latupono, S.E.I"",ytarihoran@yahoo.com,+62-073-821-8552,2024-02-13,aktive"
363,Dt. Raditya Mahendra,cager52@pt.sch.id,0847093790,2024-01-24,aktive
"364,""Yance Puspita, M.Ak"",wijayayulia@perum.org,+62 (0509) 033-2781,10/04/2024,aktive"
365,Elisa Pangestu,daruna34@pd.mil.id,+62 (0261) 980 4074,23-05-24,active
366,Kairav Kuswoyo,prasetyapranawa@ud.int,+62 (0393) 945 2026,2023-11-07,Active
"367,""KH. Ihsan Firgantoro, S.Psi"",pranowowira@yahoo.com,+62-0217-608-5826,10/11/2025,active"
368,Aris Iswahyudi,jagaraga24@cv.mil,+62 (24) 765-0298,13/11/2024,inactive
369,Aditya Hutasoit,ejanuar@yahoo.com,+62-0092-254-8164,18/11/2024,inactive
"370,""Dt. Manah Kusumo, S.Psi"",dodomegantara@perum.ponpes.id,+62-013-259-2034,18-05-24,aktive"
371,Jarwa Yuniar,aslijan54@gmail.com,+62 (0712) 187-9555,29/03/2024,inactive
372,Harjo Widodo,purwantiraden@gmail.com,+62-637-056-7063,13/02/2025,banned
"373,""Tgk. Farhunnisa Marpaung, M.Ak"",luluhsirait@perum.my.id,+62 (088) 892 1209,23/05/2025,Active"
"374,""Puti Sadina Kurniawan, S.Psi"",taniawacana@hotmail.com,+62 (11) 330-0671,26-10-24,inactive"
375,Uli Mahendra,osihombing@pt.org,+62 (13) 133 3011,09/02/2023,inactive
"376,""Drs. Dadi Oktaviani, M.Ak"",rafiwahyudin@pd.edu,+62-381-498-1723,2023-02-07,inactive"
377,Mutia Irawan,ziziwahyuni@ud.gov,082 852 7919,07-05-25,inactive
378,Ayu Hakim,gandi41@hotmail.com,088 592 9531,17/04/2025,inactive
"379,""Dr. Hamima Sinaga, S.I.Kom"",csirait@yahoo.com,+62-10-568-8053,13/03/2025,inactive"
"380,""Ir. Hendri Lazuardi, S.Psi"",oharyanti@pt.my.id,+62 (005) 450 9629,24-11-23,aktive"
"381,""Tgk. Bella Pertiwi, S.Psi"",hasna51@cv.go.id,+62-333-304-4769,28-09-23,inactive"
382,Vivi Saefullah,xhakim@pt.id,+62 (0386) 123 0841,15/08/2025,active
383,Harimurti Mayasari,rangga22@pt.edu,082 476 4080,26/11/2023,active
384,Reksa Maryati,gandikurniawan@hotmail.com,+62 (067) 438 1704,2024-02-27,Active
385,R. Saiful Gunarto,dalimanwinarsih@pt.gov,0845576412,18/08/2024,banned
"386,""Cut Dinda Samosir, S.IP"",sabrina87@gmail.com,+62-009-946-1328,06/04/2023,inactive"
"387,""Tgk. Tantri Januar, S.E."",eramadan@pt.my.id,(006) 723 6723,14-03-26,aktive"
"388,""Galang Mandala, S.E."",yosefpermata@gmail.com,080 433 3946,19/04/2024,Active"
"389,""Rahmi Halimah, M.TI."",gadang64@gmail.com,+62-045-369-7352,16/09/2023,banned"
390,Langgeng Aryani,akarsanatampubolon@pt.sch.id,(0426) 278-6354,01-11-25,banned
391,Zalindra Budiman,harsanapradipta@pd.biz.id,+62-56-887-9258,2024-02-14,banned
392,Jamalia Waskita,puspasariamelia@gmail.com,+62 (580) 201-7257,06-02-26,Active
393,Elisa Winarsih,wasitaharimurti@gmail.com,+62 (0180) 031-1675,31/01/2023,active
394,Cornelia Palastri,raihanmaryadi@pd.org,+62-048-183-8908,18/02/2023,aktive
395,Hani Nababan,cawuk25@yahoo.com,+62 (011) 193 0644,30/09/2023,banned
396,Pangeran Yulianti,awidodo@pd.mil.id,+62-0882-421-6436,22-11-24,inactive
"397,""R.M. Paiman Situmorang, S.E."",karmankuswoyo@pd.int,+62 (407) 195-6120,2023-08-29,banned"
398,Galang Pudjiastuti,jtamba@yahoo.com,+62-0434-719-8064,31-03-26,inactive
399,Wawan Saputra,wasitapangestu@cv.org,+62 (0297) 013-8116,2025-04-10,Active
400,Waluyo Kusumo,kanda06@hotmail.com,+62 (41) 806 6689,12-01-23,Active
401,Sari Nasyiah,purwadimaheswara@pd.net.id,+62 (049) 747-2726,30-09-23,banned
402,R.A. Ratih Handayani,kkusumo@hotmail.com,+62 (0591) 372-9890,2023-04-29,active
403,Sabrina Sinaga,ikhsanyulianti@gmail.com,+62-050-845-5239,24/03/2025,Active
"404,""drg. Daruna Siregar, M.Pd"",makuta38@ud.go.id,(0480) 041 2417,21-01-24,Active"
"405,""Elvina Prabowo, S.E.I"",candrakantasaptono@pt.org,+62 (0774) 363 5468,23-07-23,banned"
406,Alika Simanjuntak,ana54@cv.mil,+62 (0688) 670-7423,2024-02-21,inactive
407,Jasmani Pranowo,lazuardidanang@yahoo.com,+62 (0265) 910-4474,19-12-23,active
"408,""Mila Marpaung, M.Pd"",padmasarinalar@gmail.com,(079) 841-2126,2023-08-22,inactive"
409,Lalita Hariyah,zulaikhawidiastuti@hotmail.com,+62-73-343-8823,2025-02-09,active
410,Puput Mulyani,fitrianatsir@hotmail.com,+62 (0041) 166-5954,06-12-25,active
"411,""Dr. Dwi Rajasa, S.T."",herumelani@perum.gov,+62 (053) 988-5950,11-04-24,Active"
"412,""Tgk. Aslijan Fujiati, S.Psi"",tiranababan@yahoo.com,+62 (0010) 816-9313,2025-11-18,inactive"
"413,""R.A. Gasti Putra, M.Pd"",dariminmandasari@pd.go.id,+62-818-601-5518,21-08-24,inactive"
414,Devi Riyanti,bakiono93@gmail.com,+62 (0431) 343-6312,2024-11-20,aktive
415,Embuh Budiman,dpratiwi@pd.web.id,+62 (029) 034 8017,14-01-26,aktive
"416,""Tgk. Gandi Gunawan, S.I.Kom"",zpadmasari@pt.ac.id,(055) 744-0539,2025-04-10,banned"
"417,""Harsanto Kusmawati, M.Kom."",prabowoqueen@hotmail.com,+62 (0521) 825 7429,2024-08-14,Active"
418,Lintang Wahyuni,sihotangade@hotmail.com,+62 (0593) 915-3475,05-01-25,banned
419,Yuni Puspasari,erik03@gmail.com,+62 (0452) 984 6246,05/05/2024,banned
420,Tugiman Hakim,uwaisparamita@perum.ponpes.id,+62 (855) 268 9680,2024-09-29,Active
421,Hairyanto Suryono,zulkarnainaurora@ud.desa.id,+62 (268) 056-3247,20/09/2025,active
"422,""Gabriella Kuswandari, S.Ked"",tiara00@yahoo.com,+62 (74) 892 8394,19-12-24,banned"
423,H. Mumpuni Suartini,asiregar@pt.net.id,+62-035-996-9015,2025-06-24,aktive
"424,""Vega Suwarno, S.Pd"",irnanto25@ud.edu,+62 (0710) 378 9206,08/11/2024,aktive"
425,Agnes Wibisono,bakianto51@yahoo.com,+62 (0382) 171 5479,2025-03-06,banned
"426,""Ir. Nurul Prastuti, S.IP"",halimlegawa@gmail.com,+62 (509) 689-3928,29/10/2024,inactive"
427,Vivi Usamah,gaduhwibowo@pd.mil.id,085 492 1940,31/05/2024,active
"428,""Tari Irawan, S.Kom"",kala59@gmail.com,(018) 215-6362,2023-08-16,active"
"429,""H. Ikin Lazuardi, S.Kom"",ssetiawan@gmail.com,+62 (0692) 243 8702,20-12-25,banned"
"430,""Cayadi Hidayat, S.T."",mardhiyahgarda@perum.id,(0371) 149 3578,17/10/2024,inactive"
431,Elisa Rahayu,tari90@pt.web.id,+62-0324-963-2593,26/08/2025,Active
"432,""Dimaz Najmudin, S.Gz"",uchita61@yahoo.com,+62 (055) 802-8424,23-10-25,Active"
433,Tasdik Maheswara,sitorusgenta@hotmail.com,+62 (0932) 804 3479,2023-02-28,aktive
"434,""Ami Prasasta, M.Kom."",anajmudin@yahoo.com,+62 (038) 951 0000,2025-10-21,aktive"
435,Ganjaran Astuti,hmardhiyah@perum.web.id,+62 (053) 354-4333,01/02/2025,inactive
436,Kadir Nasyidah,legawapertiwi@gmail.com,(0369) 146 4021,2025-05-29,Active
"437,""Tgk. Martana Saefullah, M.Ak"",kanda39@cv.go.id,(0686) 569-1801,29/07/2024,banned"
438,Dono Mandala,suwarnocitra@ud.org,(073) 646-5531,14/01/2025,banned
439,R.M. Gara Mustofa,hassanahpranawa@hotmail.com,+62 (10) 799-8409,26-06-23,inactive
440,Maras Hidayanto,uwaisbanawa@hotmail.com,+62 (107) 432 3621,2024-12-05,inactive
441,Diana Kusmawati,shaniaadriansyah@perum.sch.id,0825770513,2025-08-02,aktive
442,Jaswadi Melani,darmajimaulana@cv.web.id,+62 (635) 332-1540,2025-03-18,Active
443,Rika Siregar,pprasetyo@cv.net,0847816396,2023-07-27,Active
444,Hj. Titin Prasetya,radika59@pd.org,+62 (77) 303-4217,15-03-25,active
445,Cici Sitompul,etampubolon@gmail.com,(076) 369 2393,2023-06-01,inactive
446,Karman Prasetyo,nurdiyantinasim@yahoo.com,+62-0162-452-6823,2024-10-24,banned
447,Ibrani Saputra,violet75@perum.org,+62 (0444) 809 6125,2023-11-30,Active
448,R. Devi Wijaya,najmudinlatif@pd.ac.id,+62 (34) 756 8388,24-08-25,Active
"449,""Tina Simanjuntak, S.IP"",siraitreksa@pt.org,(064) 845-5697,07-02-26,Active"
450,Nurul Permata,cahyanto16@yahoo.com,+62 (0278) 737-6121,18/01/2024,banned
451,Uli Tarihoran,kenes68@yahoo.com,+62 (061) 612-0481,01/09/2023,banned
452,Mahdi Prasetyo,inamaga@hotmail.com,+62-19-782-7583,11-07-23,banned
453,Padmi Mardhiyah,najam77@hotmail.com,+62 (024) 286 6743,08-03-23,aktive
454,Lamar Mahendra,saputrahamima@gmail.com,(0927) 284 9536,22-02-25,banned
455,Lurhur Suryatmi,arsipatra10@yahoo.com,(047) 108-7057,2024-09-15,inactive
"456,""Tri Pranowo, S.Pt"",balapati39@hotmail.com,082 227 5622,2023-05-02,aktive"
"457,""Cut Ghaliyati Gunarto, M.Pd"",najmudinibun@yahoo.com,+62 (092) 118-3484,2023-07-24,banned"
458,Maimunah Mayasari,cemaniuyainah@gmail.com,087 099 0544,29-04-23,inactive
459,Bakiadi Tampubolon,utamakasim@cv.biz.id,+62 (606) 458 6093,2023-04-30,active
460,T. Paiman Mangunsong,firmansyahkamaria@pd.gov,089 584 7570,17-03-25,inactive
"461,""Prabowo Wahyudin, M.M."",ubudiyanto@yahoo.com,+62-31-254-5801,2023-10-09,inactive"
462,Ida Pratama,tarihorancatur@ud.ponpes.id,(001) 241 6448,25-03-24,aktive
"463,""Juli Sirait, S.E.I"",naradipranowo@perum.org,0898704850,2024-07-11,Active"
"464,""Cahyadi Maryadi, S.E."",asuartini@cv.mil.id,+62 (883) 312-8568,2026-01-18,active"
"465,""Langgeng Mandasari, S.Gz"",mlatupono@ud.gov,+62-0287-357-6432,04-05-24,aktive"
466,Ajeng Siregar,ikhsanyulianti@gmail.com,089 162 7257,18-07-23,banned
"467,""Purwadi Padmasari, M.Pd"",mahfud37@hotmail.com,+62-0583-830-0139,2025-05-20,inactive"
468,Kunthara Permata,danujawinarsih@hotmail.com,+62 (0897) 782-6617,2025-07-05,inactive
469,Tina Tampubolon,lala98@ud.id,+62-077-272-2608,30-04-25,Active
470,Puji Melani,gadang55@cv.id,+62-064-571-5491,2025-12-07,Active
471,Titi Puspita,skuswandari@ud.co.id,+62 (0347) 140 1927,14-04-25,active
472,Dr. Rizki Gunawan,syolanda@hotmail.com,+62 (929) 373 3047,2024-12-04,Active
473,H. Bahuraksa Nasyidah,ewijaya@gmail.com,+62 (054) 908 8999,30-05-24,inactive
"474,""Rahmi Puspasari, M.Pd"",saefullahlabuh@perum.ponpes.id,(019) 561 6679,2025-11-01,aktive"
475,Bagas Riyanti,hutasoitdevi@gmail.com,082 912 6866,23/08/2023,inactive
476,Dt. Samsul Jailani,gandewa40@gmail.com,+62-0927-067-7643,08/02/2023,inactive
477,dr. Puti Prabowo,galang53@cv.id,+62 (032) 069 2551,15-10-24,Active
"478,""dr. Prayitna Gunarto, S.Psi"",bsalahudin@pt.id,+62-370-172-3254,25/10/2023,aktive"
479,Nilam Prabowo,firgantoronabila@yahoo.com,+62 (047) 122 6350,04/01/2024,Active
"480,""Sutan Harjo Pangestu, S.Sos"",napitupulucapa@perum.gov,085 930 5459,2024-02-06,inactive"
481,R.A. Ciaobella Hutagalung,zulkarnaincawisadi@cv.gov,+62 (091) 329-9204,03/08/2025,banned
482,Dalima Purnawati,mahesanarpati@hotmail.com,+62 (018) 516 5756,2025-06-23,aktive
483,Pia Wulandari,kadir66@perum.my.id,+62 (004) 872 9156,2024-08-03,inactive
"484,""Warta Susanti, S.Pd"",fhutapea@perum.ponpes.id,+62-021-942-3947,09-02-23,inactive"
485,Jamal Agustina,zamira61@ud.id,+62 (098) 459-9593,14-10-23,Active
486,R.A. Vanya Zulkarnain,bahuwarnagunarto@gmail.com,+62 (66) 401-0070,14/01/2024,banned
487,Farhunnisa Kurniawan,wirda70@hotmail.com,+62 (59) 325-3580,01-12-25,banned
"488,""H. Aslijan Hardiansyah, M.M."",ytamba@hotmail.com,+62-031-668-4240,30/03/2026,aktive"
"489,""Dr. Kartika Anggraini, S.Kom"",waskitanurul@ud.net.id,+62-906-572-5547,27/10/2023,active"
490,Hamima Sitompul,siregarharsaya@pt.sch.id,0856368094,15/02/2024,active
491,Lembah Siregar,tiara48@pd.my.id,+62 (0177) 035-2793,2023-05-28,active
492,Luluh Mardhiyah,andrianicemplunk@yahoo.com,+62 (014) 514 0082,27-07-23,banned
493,Danang Jailani,fusamah@pd.net.id,+62-73-973-8896,05-04-23,banned
494,Puji Saputra,uhidayanto@pd.int,(0323) 200-7066,2025-10-12,inactive
"495,""Puti Ulva Permadi, S.Kom"",najmudinlatif@pd.ac.id,+62 (966) 631-3869,2023-09-25,active"
"496,""Martani Nasyidah, S.Sos"",ipurwanti@ud.sch.id,(0104) 447-5609,14-07-25,aktive"
497,Koko Yolanda,gsudiati@cv.mil,(039) 366 6290,04-08-25,inactive
498,Tantri Mansur,jpuspita@cv.go.id,+62 (004) 044 8177,2026-03-20,Active
"499,""Dr. Paris Pradana, S.Pt"",baktiantopermadi@gmail.com,+62 (0719) 100-6233,2023-04-10,Active"
500,Gilda Hutagalung,emangunsong@perum.mil.id,+62 (227) 842-9930,12/10/2025,Active
"501,""drg. Vicky Purwanti, S.T."",wardaya87@pd.or.id,(060) 713 0516,19/04/2025,active"
502,Dr. Kezia Nugroho,elon10@yahoo.com,+62 (27) 759-2821,07/10/2023,Active
"503,""R.M. Cengkir Suwarno, M.M."",uwaisparamita@perum.ponpes.id,+62 (0678) 864 6067,26/02/2025,banned"
504,Safina Wasita,ehakim@gmail.com,+62 (64) 177 4488,07/11/2024,aktive
"505,""Atmaja Najmudin, S.H."",rsaputra@pt.id,(0158) 925-9582,16-02-25,inactive"
506,Jamal Suryono,jamalmahendra@pt.net.id,(0910) 271 7766,2025-07-07,aktive
507,Purwadi Setiawan,unovitasari@pt.net,+62-078-522-8597,16/10/2023,inactive
508,Adika Aryani,hidayatgalak@gmail.com,0875963366,19-02-25,Active
"509,""Adikara Prakasa, M.Ak"",sihombingrahman@hotmail.com,080 406 8952,14/03/2024,active"
510,Makuta Halimah,novisaputra@pd.org,+62 (76) 257 1089,25/02/2026,active
511,Nilam Nasyidah,prasastaanastasia@ud.go.id,087 453 7024,01-06-25,active
512,Cici Samosir,tira00@ud.net,+62-00-960-6208,2025-05-30,inactive
513,Fitriani Hartati,winarnomariadi@perum.biz.id,+62 (001) 147-7779,2023-12-24,banned
514,Maimunah Tampubolon,mardhiyahsidiq@hotmail.com,(0889) 045 0237,24-02-26,active
515,Tasnim Sitompul,bzulkarnain@pt.co.id,(026) 903-6910,16/07/2024,active
516,Eluh Siregar,zwidodo@gmail.com,+62 (0449) 385-1220,06/11/2024,aktive
"517,""drg. Asmianto Tarihoran, S.E."",hardanasudiati@hotmail.com,+62 (0236) 237-9224,22/11/2024,banned"
518,Salsabila Hutagalung,laswi55@yahoo.com,(0047) 942 6519,2023-06-29,active
519,Artanto Prasetyo,zhartati@hotmail.com,(038) 005 7597,2024-10-30,aktive
"520,""Drs. Ratna Mansur, S.Sos"",halimahmelinda@ud.sch.id,+62 (820) 869 5118,01/10/2024,active"
521,Embuh Puspasari,danujawinarsih@hotmail.com,+62-11-157-0613,08/03/2024,aktive
"522,""Ir. Yessi Lazuardi, S.E."",upranowo@cv.ac.id,+62 (45) 196-0468,19/07/2024,active"
523,Taufik Mansur,mulya35@ud.or.id,+62-0241-410-8743,11/10/2024,inactive
"524,""Yunita Sihombing, M.M."",laila58@ud.ac.id,+62 (51) 171-5951,05-03-23,inactive"
525,H. Jinawi Mandasari,gamantomarpaung@hotmail.com,+62 (55) 785 8696,18-11-25,banned
"526,""Drs. Faizah Rajata, S.I.Kom"",iswahyudigading@cv.edu,(062) 676 5545,03/03/2024,inactive"
527,Kezia Mahendra,anastasiawacana@cv.int,+62 (050) 185-4645,29/07/2024,inactive
528,Alambana Anggraini,setiawanvicky@yahoo.com,+62-35-191-2715,08/03/2024,active
"529,""Hani Iswahyudi, S.Pt"",clararahimah@hotmail.com,(043) 322-1521,22-11-25,active"
530,Hendri Kuswandari,marpaungrespati@hotmail.com,+62 (0185) 532-3450,2023-03-30,banned
531,Kiandra Sihombing,umaywastuti@hotmail.com,+62 (050) 153-8487,03-06-25,Active
"532,""Siska Permata, S.T."",radenwidiastuti@perum.com,0829264067,25-01-25,Active"
533,Galuh Nababan,danu23@pd.go.id,+62 (0805) 361 4194,2024-04-12,Active
534,Dartono Pranowo,tira00@ud.net,(001) 502 9106,16-07-23,banned
535,R.M. Emin Tampubolon,mulyanainggolan@hotmail.com,+62 (526) 192-0416,29/09/2025,aktive
"536,""Kiandra Hutasoit, M.Pd"",rangga89@perum.id,+62 (0221) 651-8411,01/09/2024,banned"
537,Ilsa Haryanto,etampubolon@gmail.com,(0294) 024-2908,10-02-25,inactive
538,Ir. Hamima Santoso,bakiono30@hotmail.com,+62-0987-255-3431,20/05/2023,Active
539,Hilda Utama,candrautama@hotmail.com,(054) 009 8949,15/05/2025,banned
540,Clara Adriansyah,galiono07@yahoo.com,+62 (595) 622 7224,04/02/2023,inactive
541,Raina Yulianti,twijaya@ud.co.id,+62 (134) 060-1328,2025-01-06,Active
542,Puji Wibisono,limar39@hotmail.com,(025) 205-5343,03/12/2023,banned
543,Zalindra Prasetya,dono78@cv.gov,+62-114-631-3272,2026-04-03,banned
544,Maida Hutasoit,qkuswoyo@ud.org,084 591 8804,23-12-25,aktive
545,Baktiono Winarsih,gantarhutagalung@perum.mil.id,+62 (0355) 172 9371,11-07-25,active
546,Damu Habibi,nmarbun@yahoo.com,+62 (062) 472 2766,03/02/2025,banned
547,Tgk. Rahayu Kuswoyo,habibiprima@cv.mil.id,+62 (006) 561-1560,04-03-26,Active
"548,""Mutia Tampubolon, M.Kom."",rendysitompul@cv.mil.id,0853231068,24-10-23,aktive"
"549,""Sakti Firmansyah, S.Ked"",sari06@gmail.com,+62 (042) 009-0944,2025-11-10,inactive"
550,Chandra Yuniar,etampubolon@gmail.com,+62 (740) 556-4330,15/10/2024,active
"551,""R. Jessica Sihombing, S.T."",cbudiyanto@gmail.com,+62 (074) 349 2333,26/04/2025,inactive"
552,Panji Kurniawan,timbul01@gmail.com,+62 (0995) 815-5682,18-06-23,banned
553,Yahya Wastuti,nhassanah@cv.ponpes.id,+62 (097) 196 7218,02-09-24,inactive
"554,""Ani Wahyuni, M.Pd"",latika43@pd.or.id,+62 (0684) 734-7892,2023-12-15,aktive"
555,Garan Permata,samiahwacana@yahoo.com,+62 (021) 190-9383,2024-12-21,Active
"556,""T. Ganda Sitompul, M.Farm"",prabowonarpati@ud.desa.id,080 805 9835,28/11/2025,aktive"
557,Harsaya Susanti,ghaliyatiutama@hotmail.com,(096) 384-8074,26-07-25,aktive
558,Gilda Saragih,respati77@pt.co.id,+62 (0707) 547-9825,13/05/2024,banned
"559,""R.M. Karja Saputra, S.Ked"",usyisihotang@hotmail.com,+62-089-978-9293,31/08/2024,aktive"
560,R. Tira Narpati,makarahandayani@cv.org,+62-0390-716-4320,09-03-23,banned
"561,""Cahyono Hidayanto, M.Farm"",maryanto07@yahoo.com,+62 (0651) 106 5422,2024-04-27,aktive"
